yr,P (bar)
1953,54.96685229
1954,54.81159335
1955,52.64090121
1956,56.13794028
1957,50.56478371
1958,50.04131451
1959,50.80092925
1960,47.10029077
1961,47.18079203
1962,44.89658544
1963,44.74853906
1964,36.23519949
1965,35.30091881
1966,36.82834442
1967,34.74221536
1968,35.71198068
1969,33.19091479
1970,34.25055007
1971,33.5621625
1972,30.07694833
1973,30.09126732
1974,33.1706167
1975,28.26547728
1976,35.3689208
1977,32.83546525
1978,30.3542137
1979,31.93365466
1980,30.1446255
1981,27.6075282
1982,34.06819302
1983,29.26018616
1984,28.98898939
1985,30.01432498
1986,28.60071045
1987,30.72395738
1988,27.39964708
1989,32.10622998
1990,29.46017942
1991,32.55086362
1992,28.47389157
1993,32.87994949
1994,28.95119188
1995,31.37378873
1996,28.16779137
1997,29.22993498
1998,29.83967648
1999,31.00045121
2000,32.00705934
2001,31.17564365
2002,31.88600358
2003,32.85914023
2004,30.39483824
2005,29.82229295
2006,30.41116023
2007,29.07309471
2008,33.21354911
2009,29.69991352
2010,34.57782416
2011,34.25679513
2012,31.93874914
